SrNo,TITLE,CATEGORY,CITY,STATE,DATE,AMOUNT,MONTH,YEAR,DATE
0,Sell one of your kidney for cash,Disability Related,Banswara,Rajasthan,"May 10, 2020",47800,May,2020,May 10
1,To meet the dcp zone 5of Thane i was demanded 50000 by his reader,FIR and Complaints,Thane,Maharashtra,"May  9, 2020",50000,May,2020,May  9
2,"Donate your kidney for money urgently today, We are ready to pay…",Others,Bidar,Karnataka,"May  4, 2020",40000000,May,2020,May  4
3,"Donate your kidney for money urgently today, We are ready to pay…",Others,Mysore,Karnataka,"May  4, 2020",40000000,May,2020,May  4
4,"Donate your kidney for money urgently today, We are ready to pay…",Others,Manglaur,Uttarakhand,"May  4, 2020",40000000,May,2020,May  4
5,"Donate your kidney for money urgently today, We are ready to pay…",Others,Mumbai,Maharashtra,"May  4, 2020",4009000,May,2020,May  4
6,SELL YOUR KIDNEY,Others,Baran,Rajasthan,"May  3, 2020",2100,May,2020,May  3
7,Bribed the police during my police verification,Passport Status and Delivery,Kolkata,West Bengal,"May  2, 2020",1000,May,2020,May  2
8,Finally a place where you can sell your kidney with no stress,Sales Tax,Rohtak,Haryana,"May  2, 2020",250000,May,2020,May  2
9,Even after dc order they have not processed the request,Land Registration,Tumkur,Karnataka,"May  1, 2020",10000,May,2020,May  1
10,SELL YOUR K1DNEY FOR MONEY,Others,Utraula,Uttar Pradesh,"May  1, 2020",12000,May,2020,May  1
11,The whole gvmc engineering dept is corrupted,Government Personnel,Visakhapatnam,Andhra Pradesh,"May  1, 2020",10000,May,2020,May  1
12,Sell your kidney contact legit sources,Loans,Kadapa,Andhra Pradesh,"May  1, 2020",30000,May,2020,May  1
13,Kidney Donor Needed Urgently,Others,Tumkur,Karnataka,"May  1, 2020",11000,May,2020,May  1
14,Job of Assistant Teacher,Job Application,Mumbai,Maharashtra,"April 30, 2020",180000,April,2020,April 30
15,Sell your kidney for immediate cash,Customs Check and Clearance,Bhubaneswar,Orissa,"April 30, 2020",140000,April,2020,April 30
16,Saved a life donated one of my kindey for cash,Sales Tax,Chandausi,Uttar Pradesh,"April 29, 2020",140000,April,2020,April 29
17,Complaint against a corrupt Markfed officials,Food and Supply,Mansa,Punjab,"April 28, 2020",100000,April,2020,April 28
18,WE NEED KIDNEY DONOR URGENTLY CONTACT,Others,Bagalkot,Karnataka,"April 28, 2020",900000,April,2020,April 28
19,WE URGENTLY NEED SERIOUS KIDNEY DONORS FOR CASH,Others,Jamtara,Jharkhand,"April 27, 2020",140000,April,2020,April 27
20,Hello brothers and sisters who want to sell your kidney? Are you…,Others,Lucknow,Uttar Pradesh,"April 26, 2020",4000000000,April,2020,April 26
21,"Donate your kidney for money urgently today, We are ready to pay…",Others,Mangalore,Karnataka,"April 26, 2020",4000000000,April,2020,April 26
22,"Hello men and women, If you are in financial crisis. Here is an…",Others,Mysore,Karnataka,"April 26, 2020",40000000,April,2020,April 26
23,"Sell your kidney for money urgently, We need genuine donor only,…",Others,Hyderabad,Telangana,"April 26, 2020",40000000,April,2020,April 26
24,GENUINE DONORS NEEDED!!! Male/Female who are healthy and 100 serious…,Others,Chennai,Tamil Nadu,"April 26, 2020",40000000,April,2020,April 26
25,"Hello. Do you want to buy or sell your k1dney for money, K1dney…",Others,Mangalore,Karnataka,"April 26, 2020",40000000,April,2020,April 26
26,Hello. Do you want to buy or sell your k1dney or any part of your…,Others,Hubli,Karnataka,"April 26, 2020",4000000000,April,2020,April 26
27,"Paid Bribe To Gokul Township Police, Virar(W)",Others,Thane,Maharashtra,"April 25, 2020",10000,April,2020,April 25
28,Kidney Donor Needed Urgently,Others,Bangalore,Karnataka,"April 25, 2020",11000,April,2020,April 25
29,Kidney Donor Needed Urgently,Others,Vellore,Tamil Nadu,"April 25, 2020",11000,April,2020,April 25
30,"Please support us with funds to fight this covid-19 pandemic , covid-19…",Others,Hubli,Karnataka,"April 24, 2020",2000,April,2020,April 24
31,"Please support us with funds to fight this covid-19 pandemic , covid-19…",Others,Hyderabad,Telangana,"April 24, 2020",3000,April,2020,April 24
32,"Please support us with funds to fight this covid-19 pandemic , covid-19…",Others,Mumbai,Maharashtra,"April 24, 2020",5000,April,2020,April 24
